Image,Method,K,Silhouette_Score
image5.jpg,HSV+XY,2,0.3534575
image5.jpg,HSV+XY,3,0.3085046
image5.jpg,HSV+XY,4,0.31402773
image5.jpg,HSV+XY,5,0.3389957
image5.jpg,RGB+Blur,2,0.5816651
image5.jpg,RGB+Blur,3,0.5439075
image5.jpg,RGB+Blur,4,0.5169959
image5.jpg,RGB+Blur,5,0.51637405
image6.jpg,RGB,2,0.7646866
image6.jpg,RGB,3,0.6726928
image6.jpg,RGB,4,0.62156737
image6.jpg,RGB,5,0.5831795
image6.jpg,HSV,2,0.6283488
image6.jpg,HSV,3,0.6413579
image6.jpg,HSV,4,0.59602904
image6.jpg,HSV,5,0.5896435
image6.jpg,RGB+XY,2,0.6570341
image6.jpg,RGB+XY,3,0.5043489
image6.jpg,RGB+XY,4,0.3886828
image6.jpg,RGB+XY,5,0.32720792
image6.jpg,HSV+XY,2,0.5287005
image6.jpg,HSV+XY,3,0.5181693
image6.jpg,HSV+XY,4,0.362551
image6.jpg,HSV+XY,5,0.38112468
image6.jpg,RGB+Blur,2,0.7252073
image6.jpg,RGB+Blur,3,0.6451919
image6.jpg,RGB+Blur,4,0.59468514
image6.jpg,RGB+Blur,5,0.55515623
image7.jpg,RGB,2,0.6988548
image7.jpg,RGB,3,0.64711666
image7.jpg,RGB,4,0.6496016
image7.jpg,RGB,5,0.66527784
image7.jpg,HSV,2,0.49876353
image7.jpg,HSV,3,0.61032623
image7.jpg,HSV,4,0.61142194
image7.jpg,HSV,5,0.6205161
image7.jpg,RGB+XY,2,0.6214767
image7.jpg,RGB+XY,3,0.52899
image7.jpg,RGB+XY,4,0.5216379
image7.jpg,RGB+XY,5,0.41427296
image7.jpg,HSV+XY,2,0.43305802
image7.jpg,HSV+XY,3,0.52022284
image7.jpg,HSV+XY,4,0.4914047
image7.jpg,HSV+XY,5,0.49212146
image7.jpg,RGB+Blur,2,0.6891
image7.jpg,RGB+Blur,3,0.65407217
image7.jpg,RGB+Blur,4,0.64138025
image7.jpg,RGB+Blur,5,0.6579615
image8.jpg,RGB,2,0.56562304
image8.jpg,RGB,3,0.5600729
image8.jpg,RGB,4,0.5198975
image8.jpg,RGB,5,0.48426315
image8.jpg,HSV,2,0.46412432
image8.jpg,HSV,3,0.49722263
image8.jpg,HSV,4,0.48509032
image8.jpg,HSV,5,0.50643647
image8.jpg,RGB+XY,2,0.4343819
image8.jpg,RGB+XY,3,0.36163068
image8.jpg,RGB+XY,4,0.3426476
image8.jpg,RGB+XY,5,0.34766996
image8.jpg,HSV+XY,2,0.3709926
image8.jpg,HSV+XY,3,0.37127572
image8.jpg,HSV+XY,4,0.34231287
image8.jpg,HSV+XY,5,0.34003732
image8.jpg,RGB+Blur,2,0.5222764
image8.jpg,RGB+Blur,3,0.55279446
image8.jpg,RGB+Blur,4,0.53687733
image8.jpg,RGB+Blur,5,0.5437149
image9.jpg,RGB,2,0.58079803
image9.jpg,RGB,3,0.4905253
image9.jpg,RGB,4,0.4383519
image9.jpg,RGB,5,0.46066076
image9.jpg,HSV,2,0.51402885
image9.jpg,HSV,3,0.47277203
image9.jpg,HSV,4,0.445409
image9.jpg,HSV,5,0.446961
image9.jpg,RGB+XY,2,0.46753687
image9.jpg,RGB+XY,3,0.3296417
image9.jpg,RGB+XY,4,0.30878288
image9.jpg,RGB+XY,5,0.2710697
image9.jpg,HSV+XY,2,0.43281537
image9.jpg,HSV+XY,3,0.37181187
image9.jpg,HSV+XY,4,0.33526725
image9.jpg,HSV+XY,5,0.3298921
image9.jpg,RGB+Blur,2,0.55949175
image9.jpg,RGB+Blur,3,0.47538662
image9.jpg,RGB+Blur,4,0.45459837
image9.jpg,RGB+Blur,5,0.44625926
